City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,taro,-8.3862,115.28,26.03,59,78,1.76,ID,1707273378
136,batouri,4.4333,14.3667,21.04,36,97,0.47,CM,1707273378
137,nuuk,64.1835,-51.7216,-6.66,73,75,15.43,GL,1707273378
138,margate,51.3813,1.3862,6.84,94,100,2.68,GB,1707273378
139,ancud,-41.8697,-73.8203,13.02,71,98,6.24,CL,1707273378
140,thompson,55.7435,-97.8558,-17.91,71,100,3.6,CA,1707273379
141,kirensk,57.7853,108.1119,-11.69,97,100,1.79,RU,1707273379
142,llaillay,-32.85,-70.9667,25.14,64,0,0.51,CL,1707273379
143,cafayate,-26.073,-65.9761,21.94,69,97,0.87,AR,1707273379
144,fatehabad,29.5167,75.45,10.17,46,5,2.4,IN,1707273379
145,pisco,-13.7,-76.2167,25.03,78,0,4.63,PE,1707273379
146,port elizabeth,-33.918,25.5701,22.28,87,0,6.17,ZA,1707273379
147,polyarnyy,69.1989,33.4478,-19.8,99,99,3.97,RU,1707273380
148,alaghsas,17.0187,8.0168,15.13,25,38,5.15,NE,1707273327
149,whakatane,-37.9585,176.9854,25.84,80,3,2.24,NZ,1707273380
150,thayetmyo,19.3167,95.1833,28.79,32,0,0.65,MM,1707273380
151,utrik,11.2278,169.8474,26.74,80,87,6.62,MH,1707273338
152,san isidro,-12.1167,-77.05,27.79,63,0,8.23,PE,1707273380
153,levuka,50.1834,-105.4011,-1.16,84,100,4.37,CA,1707273380
154,capaci,38.1711,13.2393,14.25,76,0,0.51,IT,1707273380
155,hermanus,-34.4187,19.2345,19.33,84,2,5.54,ZA,1707273309
156,namibe,-15.1961,12.1522,24.85,82,100,2.36,AO,1707273351
157,cabedelo,-6.9811,-34.8339,28.37,79,14,3.86,BR,1707273366
158,glace bay,46.1969,-59.957,-0.12,86,40,6.17,CA,1707273212
159,la'ie,21.6477,-157.9253,26.98,72,12,10.08,US,1707273380
160,yuba city,39.1405,-121.6169,13.21,64,0,0.0,US,1707273221
161,buston,40.2342,69.6948,4.1,65,75,1.0,TJ,1707273381
162,guerrero negro,27.9769,-114.0611,15.58,75,24,5.06,MX,1707273381
163,maputo,-25.9653,32.5892,23.82,88,40,1.03,MZ,1707273381
164,kupino,54.3663,77.2981,-7.79,83,100,6.26,RU,1707273381
165,dompu,-8.5356,118.4622,32.88,51,61,1.5,ID,1707273381
166,richards bay,-28.783,32.0377,20.91,88,47,4.05,ZA,1707273329
167,san giorgio del sannio,41.0696,14.8522,8.71,91,100,2.0,IT,1707273381
168,valparaiso,-33.0393,-71.6273,17.8,88,20,1.54,CL,1707273123
169,wuhai,39.6647,106.8122,-5.45,56,100,0.63,CN,1707273382
170,bolgatanga,10.7856,-0.8514,24.22,16,99,3.64,GH,1707273382
171,kailua-kona,19.6406,-155.9956,26.98,60,100,5.14,US,1707273239
172,ayaviri,-14.8864,-70.5889,3.74,99,100,0.67,PE,1707273382
173,port mathurin,-19.6833,63.4167,26.94,70,32,7.02,MU,1707273382
174,san fernando,15.0286,120.6898,28.85,44,8,3.39,PH,1707273382
175,sitka,57.0531,-135.33,2.94,87,40,0.0,US,1707273382
176,haiku-pauwela,20.9219,-156.3051,25.01,65,20,10.29,US,1707273382
177,san luis de la loma,17.2706,-100.8939,24.36,82,16,0.34,MX,1707273382
178,san matias,-16.3667,-58.4,24.67,84,100,1.9,BO,1707273382
179,atamyrat,37.8357,65.2106,9.41,36,99,6.57,TM,1707273383
180,liepaja,56.5419,21.0367,2.99,81,75,11.83,LV,1707273383
181,tiksi,71.6872,128.8694,-27.84,99,97,2.85,RU,1707273383
182,touros,-5.1989,-35.4608,26.85,80,100,4.94,BR,1707273283
183,sao jose da coroa grande,-8.8978,-35.1478,26.31,82,99,2.55,BR,1707273384
184,solleftea,63.1667,17.2667,-11.08,98,95,0.76,SE,1707273384
185,puerto ayora,-0.7393,-90.3518,25.08,88,67,3.68,EC,1707273385
186,askoy,60.4092,5.226,-2.35,93,40,1.03,NO,1707273206
187,fort st. john,56.2499,-120.8529,-7.06,79,75,2.57,CA,1707273153
188,lucapa,-8.4192,20.7447,17.24,98,94,0.89,AO,1707273385
189,dan sadau,11.2962,6.4952,19.91,24,17,5.1,NG,1707273385
190,cheongsong gun,36.4335,129.057,3.82,60,60,1.22,KR,1707273385
191,tabanan,-8.5413,115.1252,29.25,65,53,2.97,ID,1707273385
192,sumbe,-11.2061,13.8437,25.89,81,100,3.73,AO,1707273385
193,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,76,0,1.79,RU,1707273385
194,capri,40.5507,14.2426,12.94,84,100,5.75,IT,1707273192
195,springbok,-29.6643,17.8865,14.15,80,42,2.56,ZA,1707273385
196,trairi,-3.2778,-39.2689,26.95,83,78,4.44,BR,1707273359
197,beledweyne,4.7358,45.2036,25.61,70,93,4.61,SO,1707273386
198,qaqortoq,60.7167,-46.0333,-13.85,65,2,4.93,GL,1707273336
199,el bauga,18.262,33.9081,13.39,41,100,5.15,SD,1707273386
200,humahuaca,-23.2054,-65.3505,14.14,76,73,1.77,AR,1707273386
201,bethanie,-26.4833,17.15,25.3,35,100,1.4,NA,1707273239
